Epoch;Status;Reason;AvgHdgErr;MaxSpd;MaxAlt;Epsilon
231;[FAILED];Runway Excursion (7.0m);0.53;127.3;9;0.2428
232;[FAILED];Timeout;2.60;113.7;1603;0.2238
233;[FAILED];Runway Excursion (7.2m);1.07;107.4;9;0.2163
234;[FAILED];Runway Excursion (7.1m);1.20;80.3;9;0.2100
235;[FAILED];Runway Excursion (7.1m);0.76;103.2;9;0.2028
236;[FAILED];Timeout;2.79;117.3;1582;0.4159
237;[FAILED];Timeout;0.78;113.6;1603;0.3828
238;[FAILED];Runway Excursion (7.0m);1.13;72.7;9;0.3727
239;[FAILED];Runway Excursion (7.4m);1.22;107.5;9;0.3595
240;[FAILED];Runway Excursion (7.2m);0.96;104.4;11;0.3469
241;[FAILED];Runway Excursion (7.1m);0.77;129.7;9;0.3325
242;[FAILED];Runway Excursion (7.0m);0.43;121.8;9;0.3199
243;[FAILED];Timeout;2.86;161.6;1098;0.2946
244;[FAILED];Runway Excursion (7.1m);1.79;59.0;9;0.2878
245;[FAILED];Runway Excursion (7.0m);0.55;111.6;13;0.2771
246;[FAILED];Timeout;1.17;111.8;1502;0.2553
247;[FAILED];Runway Excursion (7.2m);0.83;91.6;9;0.2473
248;[FAILED];Runway Excursion (7.0m);4.11;31.5;9;0.2430
249;[FAILED];Runway Excursion (7.1m);1.05;97.3;9;0.2353
250;[FAILED];Course lost (Heading);6.01;111.8;1578;0.2178
251;[FAILED];Timeout;1.90;111.5;1500;0.2008
252;[FAILED];Runway Excursion (7.1m);2.42;49.4;9;0.4417
253;[FAILED];Runway Excursion (7.1m);2.60;43.7;9;0.4323
254;[FAILED];Timeout;1.67;111.6;1487;0.3978
255;[FAILED];Runway Excursion (7.1m);0.80;104.9;10;0.3838
256;[FAILED];Runway Excursion (7.0m);1.59;58.3;9;0.3744
257;[FAILED];Runway Excursion (7.1m);1.44;78.2;9;0.3641
258;[FAILED];Runway Excursion (7.1m);1.39;83.5;9;0.3539
259;[FAILED];Runway Excursion (7.1m);1.14;104.3;12;0.3412
260;[FAILED];Timeout;4.35;109.8;1779;0.3142
261;[FAILED];Timeout;5.04;113.3;1475;0.2894
262;[FAILED];Runway Excursion (7.1m);1.00;97.5;11;0.2797
263;[FAILED];Timeout;2.04;111.2;1562;0.2577
264;[FAILED];Runway Excursion (7.1m);1.36;75.5;9;0.2508
265;[FAILED];Timeout;2.69;111.8;1542;0.2312
266;[FAILED];Runway Excursion (7.0m);1.11;92.1;9;0.2243
267;[FAILED];Runway Excursion (7.1m);1.64;61.8;9;0.2190
268;[FAILED];Timeout;4.58;112.1;1499;0.2019
269;[FAILED];Timeout;2.36;110.9;1567;0.4159
270;[FAILED];Dangerous Premature Takeoff (106.6 kts < 130);1.47;106.6;13;0.4038
271;[FAILED];Runway Excursion (15.1m);2.55;76.2;9;0.3923
272;[FAILED];Runway Excursion (15.1m);2.03;83.9;9;0.3805
273;[FAILED];Runway Excursion (15.6m);2.68;72.0;9;0.3702
274;[FAILED];Runway Excursion (15.1m);1.60;105.6;12;0.3567
275;[FAILED];Runway Excursion (15.1m);1.99;86.4;11;0.3458
276;[FAILED];Runway Excursion (15.1m);1.52;91.8;12;0.3345
277;[FAILED];Runway Excursion (15.0m);3.02;61.3;9;0.3261
278;[FAILED];Runway Excursion (15.1m);2.18;83.6;10;0.3168
279;[FAILED];Runway Excursion (15.2m);1.32;103.7;13;0.3053
280;[FAILED];Stagnation (No speed increase);6.00;0.0;9;0.3009
281;[FAILED];Dangerous Premature Takeoff (106.1 kts < 130);1.75;106.1;13;0.2922
282;[FAILED];Runway Excursion (15.2m);3.50;58.0;9;0.2855
283;[FAILED];Dangerous Premature Takeoff (106.7 kts < 130);0.54;106.7;13;0.2753
284;[FAILED];Runway Excursion (15.1m);1.44;94.0;12;0.2662
285;[FAILED];Dangerous Premature Takeoff (106.2 kts < 130);1.08;106.2;13;0.2567
286;[FAILED];Dangerous Premature Takeoff (106.7 kts < 130);0.64;106.7;13;0.2475
287;[FAILED];Runway Excursion (15.4m);8.01;35.5;9;0.2432
288;[FAILED];Dangerous Premature Takeoff (107.0 kts < 130);0.84;107.0;13;0.2343
289;[FAILED];Runway Excursion (15.0m);1.47;103.5;13;0.2261
290;[FAILED];Dangerous Premature Takeoff (106.9 kts < 130);0.69;106.9;13;0.2180
291;[FAILED];Dangerous Premature Takeoff (106.6 kts < 130);1.07;106.6;13;0.2101
292;[FAILED];Dangerous Premature Takeoff (106.6 kts < 130);0.75;106.6;13;0.2025
293;[FAILED];Runway Excursion (15.1m);1.66;101.6;12;0.4358
294;[FAILED];Dangerous Premature Takeoff (106.7 kts < 130);0.88;106.7;13;0.4199
295;[FAILED];Dangerous Premature Takeoff (105.9 kts < 130);0.34;105.9;13;0.4042
296;[FAILED];Dangerous Premature Takeoff (105.9 kts < 130);0.47;105.9;13;0.3896
297;[FAILED];Dangerous Premature Takeoff (106.1 kts < 130);1.23;106.1;13;0.3750
298;[FAILED];Dangerous Premature Takeoff (105.9 kts < 130);0.48;105.9;13;0.3619
299;[FAILED];Stagnation (No speed increase);0.56;101.5;12;0.3491
300;[FAILED];Dangerous Premature Takeoff (109.0 kts < 130);1.69;109.0;14;0.3382
301;[FAILED];Dangerous Premature Takeoff (106.3 kts < 130);0.99;106.3;13;0.3261
302;[FAILED];Dangerous Premature Takeoff (106.1 kts < 130);1.01;106.1;13;0.3144
303;[FAILED];Runway Excursion (13.2m);2.20;73.3;9;0.3059
304;[FAILED];Dangerous Premature Takeoff (107.7 kts < 130);2.38;107.7;13;0.2944
305;[FAILED];Runway Excursion (13.0m);2.51;75.5;9;0.2863
306;[FAILED];Runway Excursion (13.3m);1.34;99.7;12;0.2768
307;[FAILED];Dangerous Premature Takeoff (108.5 kts < 130);2.64;108.5;13;0.2669
308;[FAILED];Dangerous Premature Takeoff (108.7 kts < 130);1.60;108.7;13;0.2568
309;[FAILED];Runway Excursion (13.1m);2.61;72.2;9;0.2503
310;[FAILED];Dangerous Premature Takeoff (107.3 kts < 130);1.42;107.3;13;0.2431
311;[FAILED];Runway Excursion (13.0m);3.49;52.4;9;0.2375
312;[FAILED];Dangerous Premature Takeoff (108.9 kts < 130);1.04;108.9;14;0.2285
313;[FAILED];Dangerous Premature Takeoff (107.5 kts < 130);0.82;107.5;13;0.2203
314;[FAILED];Runway Excursion (13.1m);2.97;70.1;9;0.2145
315;[FAILED];Dangerous Premature Takeoff (107.5 kts < 130);1.74;107.5;13;0.2066
316;[FAILED];Dangerous Premature Takeoff (107.9 kts < 130);0.58;107.9;13;0.4348
317;[FAILED];Dangerous Premature Takeoff (106.1 kts < 130);0.58;106.1;13;0.4186
318;[FAILED];Dangerous Premature Takeoff (108.2 kts < 130);0.99;108.2;13;0.4028
319;[FAILED];Dangerous Premature Takeoff (107.9 kts < 130);0.51;107.9;13;0.3882
320;[FAILED];Runway Excursion (13.1m);2.11;81.3;9;0.3773
321;[FAILED];Dangerous Premature Takeoff (106.0 kts < 130);0.45;106.0;13;0.3636
322;[FAILED];Dangerous Premature Takeoff (129.9 kts < 130);2.18;129.9;915;0.3395
323;[FAILED];Dangerous Premature Takeoff (106.1 kts < 130);0.74;106.1;13;0.3276
324;[FAILED];Dangerous Premature Takeoff (106.6 kts < 130);0.76;106.6;13;0.3160
325;[FAILED];Dangerous Premature Takeoff (106.2 kts < 130);0.48;106.2;13;0.3047
326;[FAILED];Dangerous Premature Takeoff (108.3 kts < 130);0.81;108.3;13;0.2936
327;[FAILED];Dangerous Premature Takeoff (109.9 kts < 130);1.38;109.9;13;0.2826
328;[FAILED];Runway Excursion (13.1m);3.37;102.9;11;0.2727
329;[FAILED];Dangerous Premature Takeoff (107.8 kts < 130);3.04;107.8;13;0.2630
330;[FAILED];Dangerous Premature Takeoff (108.2 kts < 130);1.99;108.2;13;0.2535
331;[FAILED];Dangerous Premature Takeoff (107.2 kts < 130);1.93;107.2;13;0.2441
332;[FAILED];Dangerous Premature Takeoff (112.1 kts < 130);2.34;112.1;13;0.2352
333;[FAILED];Dangerous Premature Takeoff (118.1 kts < 130);2.70;118.1;13;0.2261
334;[FAILED];Runway Excursion (13.0m);1.18;107.8;12;0.2179
